sg nom,sg gen,sg part,sg ill,sg ine,sg ela,sg all,sg ade,sg abl,sg trans,sg term,sg com,pl nom,pl gen,pl part,pl ill,pl ine,pl ela,pl all,pl ade,pl abl,pl trans,pl term,pl com,kommentaar
bruussõ,bruusa,bruussa,bruussasõ,bruussõz,bruusõss,bruusõllõ,bruusõll,bruusõlt,bruusõssi,bruussõssaa,bruusõka,bruusõd,bruussojõ,bruussoit,bruussoisõ,bruussoiz,bruussoiss,bruussoillõ,bruussoill,bruussoilt,bruussoissi,bruussoissaa,bruussoika,
bukvõ,bukva,bukva,bukvasõ,bukvõz,bukvõss,bukvõllõ,bukvõll,bukvõlt,bukvõssi,bukvõssaa,bukvõka,bukvõd,bukvijõ,bukviit,bukviisõ,bukviiz,bukviiss,bukviillõ,bukviill,bukviilt,bukviissi,bukviissaa,bukvijka,
bul̕bukõz,bul̕bukka,bul̕bukassõ,bul̕bukkasõ,bul̕bukkaz,bul̕bukkass,bul̕bukkallõ,bul̕bukkall,bul̕bukkalt,bul̕bukkassi,bul̕bukkassaa,bul̕bukkaka,bul̕bukkad,bul̕bukkajõ,bul̕bukkait,bul̕bukkaisõ,bul̕bukkaiz,bul̕bukkaiss,bul̕bukkaillõ,bul̕bukkaill,bul̕bukkailt,bul̕bukkaissi,bul̕bukkaissaa,bul̕bukkaika,oli bul̕bukkojõ ; sg ill jj baabukõz järgi ise
bulipää,bulipää,bulipääte,bulipähhe,bulipääz,bulipääss,bulipäälle,bulipääll,bulipäält,bulipäässi,bulipäässaa,bulipääka,bulipääd,bulipäije,bulipäit,bulipäise,bulipäiz,bulipäiss,bulipäille,bulipäill,bulipäilt,bulipäissi,bulipäissaa,bulipäika,
bul̕joni,bul̕joni,bul̕jonia,bul̕jonisõ,bul̕joniz,bul̕joniss,bul̕jonillõ,bul̕jonill,bul̕jonilt,bul̕jonissi,bul̕jonissaa,bul̕jonika,bul̕jonid,bul̕jonijõ,bul̕joniit,bul̕joniisõ,bul̕joniiz,bul̕joniiss,bul̕joniillõ,bul̕joniill,bul̕joniilt,bul̕joniissi,bul̕joniissaa,bul̕jonijka,
butkõ,budga,butka,butkasõ,budgõz,budgõss,budgõllõ,budgõll,budgõlt,budgõssi,budgõssaa,budgõka,budgõd,butkojõ,butkoit,butkoisõ,butkoiz,butkoiss,butkoillõ,butkoill,butkoilt,butkoissi,butkoissaa,butkoika,
čaaju,čaaju,čaajua,čaajusõ,čaajuz,čaajuss,čaajullõ,čaajull,čaajult,čaajussi,čaajussaa,čaajuka,čaajud,čaajujõ,čaajuit,čaajuisõ,čaajuiz,čaajuiss,čaajuillõ,čaajuill,čaajuilt,čaajuissi,čaajuissaa,čaajuika,
čako,čago,čakkoa,čakkosõ,čagoz,čagoss,čagollõ,čagoll,čagolt,čagossi,čagossaa,čagoka,čagod,čakojõ,čakoit,čakoisõ,čakoiz,čakoiss,čakoillõ,čakoill,čakoilt,čakoissi,čakoissaa,čakoika,
čeeli,čeele,čeelte,čeelese,čeelez,čeeless,čeelelle,čeelell,čeelelt,čeelessi,čeelessaa,čeeleka,čeeled,čeelije,čeeliit,čeeliise,čeeliiz,čeeliiss,čeeliille,čeeliill,čeeliilt,čeeliissi,čeeliissaa,čeelijka,
čello,čello,čelloa,čellosõ,čelloz,čelloss,čellollõ,čelloll,čellolt,čellossi,čellossaa,čelloka,čellod,čellojõ,čelloit,čelloisõ,čelloiz,čelloiss,čelloillõ,čelloill,čelloilt,čelloissi,čelloissaa,čelloika,
čenče,čennä,čenčä,čenčäse,čennez,čenness,čennelle,čennell,čennelt,čennessi,čennessaa,čenneka,čenned,čenčije,čenčiit,čenčiise,čenčiiz,čenčiiss,čenčiille,čenčiill,čenčiilt,čenčiissi,čenčiissaa,čenčijka,
čerikko,čeriko,čerikkoa,čerikkosõ,čerikkoz,čerikoss,čerikollõ,čerikoll,čerikolt,čerikossi,čerikkossaa,čerikoka,čerikod,čerikkojõ,čerikkoit,čerikkoisõ,čerikkoiz,čerikkoiss,čerikkoillõ,čerikkoill,čerikkoilt,čerikkoissi,čerikkoissaa,čerikkoika,
česä,čezä,čessä,čessäse,čezäz,čezäss,čezälle,čezäll,čezält,čezässi,čezässaa,čezäka,čezäd,česije,česiit,česiise,česiiz,česiiss,česiille,česiill,česiilt,česiissi,česiissaa,česijka,
čeväd,čevvä,čevätte,čevättese,čeväz,čeväss,čevälle,čeväll,čevält,čevässi,čevässaa,čeväka,čeväd,čevvije,čevviit,čevviise,čevviiz,čevviiss,čevviille,čevviill,čevviilt,čevviissi,čevviissaa,čevvijka,
čimolain,čimolaizõ,čimolaissõ,čimolaizõsõ,čimolaizõz,čimolaizõss,čimolaizõllõ,čimolaizõll,čimolaizõlt,čimolaizõssi,čimolaizõssaa,čimolaizõka,čimolaizõd,čimolaisijõ,čimolaisiit,čimolaisiisõ,čimolaisiiz,čimolaisiiss,čimolaisiillõ,čimolaisiill,čimolaisiilt,čimolaisiissi,čimolaisiissaa,čimolaisijka,
čirjavõ,čirjava,čirjava,čirjavasõ,čirjavõz,čirjavõss,čirjavõllõ,čirjavõll,čirjavõlt,čirjavõssi,čirjavõssaa,čirjavõka,čirjavõd,čirjavojõ,čirjavoit,čirjavoisõ,čirjavoiz,čirjavoiss,čirjavoillõ,čirjavoill,čirjavoilt,čirjavoissi,čirjavoissaa,čirjavoika,
čirjõ,čirja,čirja,čirjasõ,čirjõz,čirjõss,čirjõllõ,čirjõll,čirjõlt,čirjõssi,čirjõssaa,čirjõka,čirjõd,čirjojõ,čirjoit,čirjoisõ,čirjoiz,čirjoiss,čirjoillõ,čirjoill,čirjoilt,čirjoissi,čirjoissaa,čirjoika,
čirkõz,čirkka,čirkassõ,čirkkasõ,čirkkaz,čirkkass,čirkkallõ,čirkkall,čirkkalt,čirkkassi,čirkkassaa,čirkkaka,čirkkad,čirkkajõ,čirkkait,čirkkaisõ,čirkkaiz,čirkkaiss,čirkkaillõ,čirkkaill,čirkkailt,čirkkaissi,čirkkaissaa,čirkkaika,
čiutto,čiuto,čiuttoa,čiuttosõ,čiuttoz,čiutoss,čiutollõ,čiutoll,čiutolt,čiutossi,čiuttossaa,čiutoka,čiutod,čiuttojõ,čiuttoit,čiuttoisõ,čiuttoiz,čiuttoiss,čiuttoillõ,čiuttoill,čiuttoilt,čiuttoissi,čiuttoissaa,čiuttoika,
čivi,čive,čiveä,čivese,čivez,čivess,čivelle,čivell,čivelt,čivessi,čivessaa,čiveka,čived,čivije,čiviit,čiviise,čiviiz,čiviiss,čiviille,čiviill,čiviilt,čiviissi,čiviissaa,čivijka,
