sg nom,sg gen,sg part,sg ill,sg ine,sg ela,sg all,sg ade,sg abl,sg trans,sg term,sg com,pl nom,pl gen,pl part,pl ill,pl ine,pl ela,pl all,pl ade,pl abl,pl trans,pl term,pl com,kommentaar
läsive,läsivä,läsivä,läsiväse,läsivez,läsivess,läsivelle,läsivell,läsivelt,läsivessi,läsivessaa,läsiveka,läsived,läsivije,läsiviit,läsiviise,läsiviiz,läsiviiss,läsiviille,läsiviill,läsiviilt,läsiviissi,läsiviissaa,läsivijka,
läsü,läzü,lässüä,lässüse,läzüz,läzüss,läzülle,läzüll,läzült,läzüssi,läzüssaa,läzüka,läzüd,läsüje,läsüit,läsüise,läsüiz,läsüiss,läsüille,läsüill,läsüilt,läsüissi,läsüissaa,läsüika,
lättilain,lättilaizõ,lättilaissõ,lättilaizõsõ,lättilaizõz,lättilaizõss,lättilaizõllõ,lättilaizõll,lättilaizõlt,lättilaizõssi,lättilaizõssaa,lättilaizõka,lättilaizõd,lättilaisijõ,lättilaisiit,lättilaisiisõ,lättilaisiiz,lättilaisiiss,lättilaisiillõ,lättilaisiill,lättilaisiilt,lättilaisiissi,lättilaisiissaa,lättilaisijka,
löülü,löülü,löülüä,löülüse,löülüz,löülüss,löülülle,löülüll,löülült,löülüssi,löülüssaa,löülüka,löülüd,löülüje,löülüit,löülüise,löülüiz,löülüiss,löülüille,löülüill,löülüilt,löülüissi,löülüissaa,löülüika,
lühüd,lühhe,lühütte,lühhese,lühhez,lühhess,lühhelle,lühhell,lühhelt,lühhessi,lühhessaa,lühheka,lühhed,lühije,lühiit,lühiise,lühiiz,lühiiss,lühiille,lühiill,lühiilt,lühiissi,lühiissaa,lühijka,
maa,maa,maatõ,mahha,maaz,maass,maallõ,maall,maalt,maassi,maassaa,maaka,maad,maijõ,mait,maisõ,maiz,maiss,maillõ,maill,mailt,maissi,maissaa,maika,
maailmõ,maailma,maailma,maailmasõ,maailmõz,maailmõss,maailmõllõ,maailmõll,maailmõlt,maailmõssi,maailmõssaa,maailmõka,maailmõd,maailmojõ,maailmoit,maailmoisõ,maailmoiz,maailmoiss,maailmoillõ,maailmoill,maailmoilt,maailmoissi,maailmoissaa,maailmoika,
maamuna,maamuna,maamuna,maamunasõ,maamunaz,maamunass,maamunallõ,maamunall,maamunalt,maamunassi,maamunassaa,maamunaka,maamunad,maamunõjõ,maamunõit,maamunõisõ,maamunõiz,maamunõiss,maamunõillõ,maamunõill,maamunõilt,maamunõissi,maamunõissaa,maamunõika,
maamõ,maama,maama,maamasõ,maamõz,maamõss,maamõllõ,maamõll,maamõlt,maamõssi,maamõssaa,maamõka,maamõd,maamojõ,maamoit,maamoisõ,maamoiz,maamoiss,maamoillõ,maamoill,maamoilt,maamoissi,maamoissaa,maamoika,Tsvetkovil märgitud sg part 'maamat'
magnetti,magneti,magnettia,magnettisõ,magnettiz,magnetiss,magnetillõ,magnetill,magnetilt,magnetissi,magnettissaa,magnetika,magnetid,magnettijõ,magnettiit,magnettiisõ,magnettiiz,magnettiiss,magnettiillõ,magnettiill,magnettiilt,magnettiissi,magnettiissaa,magnettijka,
magnettiin,magnettiizõ,magnettiissõ,magnettiizõsõ,magnettiizõz,magnettiizõss,magnettiizõllõ,magnettiizõll,magnettiizõlt,magnettiizõssi,magnettiizõssaa,magnettiizõka,magnettiizõd,magnettiisijõ,magnettiisiit,magnettiisiisõ,magnettiisiiz,magnettiisiiss,magnettiisiillõ,magnettiisiill,magnettiisiilt,magnettiisiissi,magnettiisiissaa,magnettiisijka,
mahlõ,mahla,mahla,mahlasõ,mahlõz,mahlõss,mahlõllõ,mahlõll,mahlõlt,mahlõssi,mahlõssaa,mahlõka,mahlõd,mahlojõ,mahloit,mahloisõ,mahloiz,mahloiss,mahloillõ,mahloill,mahloilt,mahloissi,mahloissaa,mahloika,
mahsu,mahzu,mahsua,mahsusõ,mahzuz,mahzuss,mahzullõ,mahzull,mahzult,mahzussi,mahsussaa,mahzuka,mahzud,mahsujõ,mahsuit,mahsuisõ,mahsuiz,mahsuiss,mahsuillõ,mahsuill,mahsuilt,mahsuissi,mahsuissaa,mahsuika,
mahsõ,mahza,mahsa,mahsasõ,mahsõz,mahzõss,mahzõllõ,mahzõll,mahzõlt,mahzõssi,mahsõssaa,mahzõka,mahzõd,mahsojõ,mahsoit,mahsoisõ,mahsoiz,mahsoiss,mahsoillõ,mahsoill,mahsoilt,mahsoissi,mahsoissaa,mahsoika,
maikka,maikka,maikkatõ,maikkasõ,maikkaz,maikkass,maikkallõ,maikkall,maikkalt,maikkassi,maikkassaa,maikkaka,maikkad,maikkõjõ,maikkõit,maikkõisõ,maikkõiz,maikkõiss,maikkõillõ,maikkõill,maikkõilt,maikkõissi,maikkõissaa,maikkõika,
main,maizõ,maissõ,maizõsõ,maizõz,maizõss,maizõllõ,maizõll,maizõlt,maizõssi,maizõssaa,maizõka,maizõd,maisijõ,maisiit,maisiisõ,maisiiz,maisiiss,maisiillõ,maisiill,maisiilt,maisiissi,maisiissaa,maisijka,tüvevokaal ühtlustada
maja,maja,maja,majasõ,majaz,majass,majallõ,majall,majalt,majassi,majassaa,majaka,majad,majojõ,majoit,majoisõ,majoiz,majoiss,majoillõ,majoill,majoilt,majoissi,majoissaa,majoika,
majakko,majako,majakkoa,majakkosõ,majakkoz,majakoss,majakollõ,majakoll,majakolt,majakossi,majakkossaa,majakoka,majakod,majakkojõ,majakkoit,majakkoisõ,majakkoiz,majakkoiss,majakkoillõ,majakkoill,majakkoilt,majakkoissi,majakkoissaa,majakkoika,
makarooni,makarooni,makaroonia,makaroonisõ,makarooniz,makarooniss,makaroonillõ,makaroonill,makaroonilt,makaroonissi,makaroonissaa,makaroonika,makaroonid,makaroonijõ,makarooniit,makarooniisõ,makarooniiz,makarooniiss,makarooniillõ,makarooniill,makarooniilt,makarooniissi,makarooniissaa,makaroonijka,
makka,makka,makkatõ,makkasõ,makkaz,makkass,makkallõ,makkall,makkalt,makkassi,makkassaa,makkaka,makkad,makkõjõ,makkõit,makkõisõ,makkõiz,makkõiss,makkõillõ,makkõill,makkõilt,makkõissi,makkõissaa,makkõika,
mako,mago,makkoa,makkosõ,magoz,magoss,magollõ,magoll,magolt,magossi,magossaa,magoka,magod,makojõ,makoit,makoisõ,makoiz,makoiss,makoillõ,makoill,makoilt,makoissi,makoissaa,makoika,
maku,magu,makkua,makkusõ,maguz,maguss,magullõ,magull,magult,magussi,magussaa,maguka,magud,makujõ,makuit,makuisõ,makuiz,makuiss,makuillõ,makuill,makuilt,makuissi,makuissaa,makuika,
makuz,makusõ,makussõ,makuzõsõ,makuzõz,makuzõss,makuzõllõ,makuzõll,makuzõlt,makuzõssi,makuzõssaa,makuzõka,makuzõd,makusijõ,makusiit,makusiisõ,makusiiz,makusiiss,makusiillõ,makusiill,makusiilt,makusiissi,makusiissaa,makusijka,ka pl tüvi -ai-
mal̕ari,mal̕ari,mal̕aria,mal̕arisõ,mal̕ariz,mal̕ariss,mal̕arillõ,mal̕arill,mal̕arilt,mal̕arissi,mal̕arissaa,mal̕arika,mal̕arid,mal̕arijõ,mal̕ariit,mal̕ariisõ,mal̕ariiz,mal̕ariiss,mal̕ariillõ,mal̕ariill,mal̕ariilt,mal̕ariissi,mal̕ariissaa,mal̕arijka,
mandõri,mandõri,mandõria,mandõrisõ,mandõriz,mandõriss,mandõrillõ,mandõrill,mandõrilt,mandõrissi,mandõrissaa,mandõrika,mandõrid,mandõrijõ,mandõriit,mandõriisõ,mandõriiz,mandõriiss,mandõriillõ,mandõriill,mandõriilt,mandõriissi,mandõriissaa,mandõrijka,
mannõ,manna,manna,mannasõ,mannõz,mannõss,mannõllõ,mannõll,mannõlt,mannõssi,mannõssaa,mannõka,mannõd,mannojõ,mannoit,mannoisõ,mannoiz,mannoiss,mannoillõ,mannoill,mannoilt,mannoissi,mannoissaa,mannoika,
mansikõz,mansikka,mansikassõ,mansikkasõ,mansikkaz,mansikkass,mansikkallõ,mansikkall,mansikkalt,mansikkassi,mansikkassaa,mansikkaka,mansikkad,mansikkajõ,mansikkait,mansikkaisõ,mansikkaiz,mansikkaiss,mansikkaillõ,mansikkaill,mansikkailt,mansikkaissi,mansikkaissaa,mansikkaika,oli mansikkojõ
marjõ,marja,marja,marjasõ,marjõz,marjõss,marjõllõ,marjõll,marjõlt,marjõssi,marjõssaa,marjõka,marjõd,marjojõ,marjoit,marjoisõ,marjoiz,marjoiss,marjoillõ,marjoill,marjoilt,marjoissi,marjoissaa,marjoika,
markkõ,marka,markka,markkasõ,markkõz,markõss,markõllõ,markõll,markõlt,markõssi,markkõssaa,markõka,markõd,markkojõ,markkoit,markkoisõ,markkoiz,markkoiss,markkoillõ,markkoill,markkoilt,markkoissi,markkoissaa,markkoika,sg vormides õ->a
mašin,mašina,mašina,mašinasõ,mašinõz,mašinõss,mašinõllõ,mašinõll,mašinõlt,mašinõssi,mašinõssaa,mašinõka,mašinõd,mašinojõ,mašinoit,mašinoisõ,mašinoiz,mašinoiss,mašinoillõ,mašinoill,mašinoilt,mašinoissi,mašinoissaa,mašinoika,
mašinist,mašinista,mašinista,mašinistasõ,mašinistõz,mašinistõss,mašinistõllõ,mašinistõll,mašinistõlt,mašinistõssi,mašinistõssaa,mašinistõka,mašinistõd,mašinistojõ,mašinistoit,mašinistoisõ,mašinistoiz,mašinistoiss,mašinistoillõ,mašinistoill,mašinistoilt,mašinistoissi,mašinistoissaa,mašinistoika,
matalõ,matala,matala,matalasõ,matalõz,matalõss,matalõllõ,matalõll,matalõlt,matalõssi,matalõssaa,matalõka,matalõd,matalojõ,mataloit,mataloisõ,mataloiz,mataloiss,mataloillõ,mataloill,mataloilt,mataloissi,mataloissaa,mataloika,
mato,mao,mattoa,mattosõ,maoz,maoss,maollõ,maoll,maolt,maossi,maossaa,maoka,maod,matojõ,matoit,matoisõ,matoiz,matoiss,matoillõ,matoill,matoilt,matoissi,matoissaa,matoika,
meebeli,meebeli,meebeliä,meebelise,meebeliz,meebeliss,meebelille,meebelill,meebelilt,meebelissi,meebelissaa,meebelika,meebelid,meebelije,meebeliit,meebeliise,meebeliiz,meebeliiss,meebeliille,meebeliill,meebeliilt,meebeliissi,meebeliissaa,meebelijka,
meeli,meele,meelte,meelese,meelez,meeless,meelelle,meelell,meelelt,meelessi,meelessaa,meeleka,meeled,meelije,meeliit,meeliise,meeliiz,meeliiss,meeliille,meeliill,meeliilt,meeliissi,meeliissaa,meelijka,
meez,mehe,meesse,mehese,mehez,mehess,mehelle,mehell,mehelt,mehessi,mehessaa,meheka,mehed,mehije,mehiit,mehiise,mehiiz,mehiiss,mehiille,mehiill,mehiilt,mehiissi,mehiissaa,mehijka,
meri,mere,merte,merese,merez,meress,merelle,merell,merelt,meressi,meressaa,mereka,mered,merije,meriit,meriise,meriiz,meriiss,meriille,meriill,meriilt,meriissi,meriissaa,merijka,
mesi,mee,mette,mettese,meez,meess,meelle,meell,meelt,meessi,meessaa,meeka,meed,mesije,mesiit,mesiise,mesiiz,mesiiss,mesiille,mesiill,mesiilt,mesiissi,mesiissaa,mesijka,nagu vesi
metlõ,metla,metla,metlasõ,metlõz,metlõss,metlõllõ,metlõll,metlõlt,metlõssi,metlõssaa,metlõka,metlõd,metlojõ,metloit,metloisõ,metloiz,metloiss,metloillõ,metloill,metloilt,metloissi,metloissaa,metloika,
mettse,metsä,mettsä,mettsäse,mettsäz,metsäss,metsälle,metsäll,metsält,metsässi,mettsässaa,metsäka,metsäd,mettsije,mettsiit,mettsiise,mettsiiz,mettsiiss,mettsiille,mettsiill,mettsiilt,mettsiissi,mettsiissaa,mettsijka,
miltäin,miltäize,miltäisse,miltäizese,miltäizez,miltäizess,miltäizelle,miltäizell,miltäizelt,miltäizessi,miltäizessaa,miltäizeka,miltäized,miltäisije,miltäisiit,miltäisiise,miltäisiiz,miltäisiiss,miltäisiille,miltäisiill,miltäisiilt,miltäisiissi,miltäisiissaa,miltäisijka,
minutti,minuti,minuttia,minuttisõ,minuttiz,minutiss,minutillõ,minutill,minutilt,minutissi,minuttissaa,minutika,minutid,minuttijõ,minuttiit,minuttiisõ,minuttiiz,minuttiiss,minuttiillõ,minuttiill,minuttiilt,minuttiissi,minuttiissaa,minuttijka,
mokom,mokoma,mokoma,mokomasõ,mokomõz,mokomõss,mokomõllõ,mokomõll,mokomõlt,mokomõssi,mokomõssaa,mokomõka,mokomõd,mokomijõ,mokomiit,mokomiisõ,mokomiiz,mokomiiss,mokomiillõ,mokomiill,mokomiilt,mokomiissi,mokomiissaa,mokomijka,
mokomõin,mokomõizõ,mokomõissõ,mokomõizõsõ,mokomõizõz,mokomõizõss,mokomõizõllõ,mokomõizõll,mokomõizõlt,mokomõizõssi,mokomõizõssaa,mokomõizõka,mokomõizõd,mokomõisijõ,mokomõisiit,mokomõisiisõ,mokomõisiiz,mokomõisiiss,mokomõisiillõ,mokomõisiill,mokomõisiilt,mokomõisiissi,mokomõisiissaa,mokomõisijka,
moodnoi,moodnoi,moodnoit,moodnoisõ,moodnoiz,moodnoiss,moodnoillõ,moodnoill,moodnoilt,moodnoissi,moodnoissaa,moodnoika,moodnoid,moodnojõ,moodnoit,moodnoisõ,moodnoiz,moodnoiss,moodnoillõ,moodnoill,moodnoilt,moodnoissi,moodnoissaa,moodnoika,
moodõ,mooda,mooda,moodasõ,moodõz,moodõss,moodõllõ,moodõll,moodõlt,moodõssi,moodõssaa,moodõka,moodõd,moodijõ,moodiit,moodiisõ,moodiiz,moodiiss,moodiillõ,moodiill,moodiilt,moodiissi,moodiissaa,moodijka,
morško,morško,morškoa,morškosõ,morškoz,morškoss,morškollõ,morškoll,morškolt,morškossi,morškossaa,morškoka,morškod,morškojõ,morškoit,morškoisõ,morškoiz,morškoiss,morškoillõ,morškoill,morškoilt,morškoissi,morškoissaa,morškoika,
moškõ,možga,moška,moškasõ,možgõz,možgõss,možgõllõ,možgõll,možgõlt,možgõssi,možgõssaa,možgõka,možgõd,moškijõ,moškiit,moškiisõ,moškiiz,moškiiss,moškiillõ,moškiill,moškiilt,moškiissi,moškiissaa,moškijka,
muna,muna,muna,munasõ,munaz,munass,munallõ,munall,munalt,munassi,munassaa,munaka,munad,munõjõ,munõit,munõisõ,munõiz,munõiss,munõillõ,munõill,munõilt,munõissi,munõissaa,munõika,
muragõ,muraga,muraga,muragasõ,muragõz,muragõss,muragõllõ,muragõll,muragõlt,muragõssi,muragõssaa,muragõka,muragõd,muragojõ,muragoit,muragoisõ,muragoiz,muragoiss,muragoillõ,muragoill,muragoilt,muragoissi,muragoissaa,muragoika,
murhõ,murhõ,murhõttõ,murhõsõ,murhõz,murhõss,murhõllõ,murhõll,murhõlt,murhõssi,murhõssaa,murhõka,murhõd,murhijõ,murhiit,murhiisõ,murhiiz,murhiiss,murhiillõ,murhiill,murhiilt,murhiissi,murhiissaa,murhijka,
muru,muru,murua,murusõ,muruz,muruss,murullõ,murull,murult,murussi,murussaa,muruka,murud,murujõ,muruit,muruisõ,muruiz,muruiss,muruillõ,muruill,muruilt,muruissi,muruissaa,muruika,
murõ,murõ,murõttõ,murõsõ,murõz,murõss,murõllõ,murõll,murõlt,murõssi,murõssaa,murõka,murõd,murijõ,muriit,muriisõ,muriiz,muriiss,muriillõ,muriill,muriilt,muriissi,muriissaa,murijka,murijõ-muriit on meelevaldsed
musikko,musiko,musikkoa,musikkosõ,musikkoz,musikoss,musikollõ,musikoll,musikolt,musikossi,musikkossaa,musikoka,musikod,musikkojõ,musikkoit,musikkoisõ,musikkoiz,musikkoiss,musikkoillõ,musikkoill,musikkoilt,musikkoissi,musikkoissaa,musikkoika,
musikõz,musikka,musikassõ,musikkasõ,musikkaz,musikkass,musikkallõ,musikkall,musikkalt,musikkassi,musikkassaa,musikkaka,musikkad,musikkajõ,musikkait,musikkaisõ,musikkaiz,musikkaiss,musikkaillõ,musikkaill,musikkailt,musikkaissi,musikkaissaa,musikkaika,
mussõ,musa,mussa,mussasõ,mussaz,musass,musallõ,musall,musalt,musassi,mussassaa,musaka,musad,mussõjõ,mussõit,mussõisõ,mussõiz,mussõiss,mussõillõ,mussõill,mussõilt,mussõissi,mussõissaa,mussõika,
mussõmarjõ,mussõmarja,mussõmarja,mussõmarjasõ,mussõmarjõz,mussõmarjõss,mussõmarjõllõ,mussõmarjõll,mussõmarjõlt,mussõmarjõssi,mussõmarjõssaa,mussõmarjõka,mussõmarjõd,mussõmarjojõ,mussõmarjoit,mussõmarjoisõ,mussõmarjoiz,mussõmarjoiss,mussõmarjoillõ,mussõmarjoill,mussõmarjoilt,mussõmarjoissi,mussõmarjoissaa,mussõmarjoika,
mustõlain,mustõlaizõ,mustõlaissõ,mustõlaizõsõ,mustõlaizõz,mustõlaizõss,mustõlaizõllõ,mustõlaizõll,mustõlaizõlt,mustõlaizõssi,mustõlaizõssaa,mustõlaizõka,mustõlaizõd,mustõlaisijõ,mustõlaisiit,mustõlaisiisõ,mustõlaisiiz,mustõlaisiiss,mustõlaisiillõ,mustõlaisiill,mustõlaisiilt,mustõlaisiissi,mustõlaisiissaa,mustõlaisijka,
muzõkantti,muzõkanti,muzõkanttia,muzõkanttisõ,muzõkanttiz,muzõkantiss,muzõkantillõ,muzõkantill,muzõkantilt,muzõkantissi,muzõkanttissaa,muzõkantika,muzõkantid,muzõkanttijõ,muzõkanttiit,muzõkanttiisõ,muzõkanttiiz,muzõkanttiiss,muzõkanttiillõ,muzõkanttiill,muzõkanttiilt,muzõkanttiissi,muzõkanttiissaa,muzõkanttijka,
muta,mua,mutta,muttasõ,muaz,muass,muallõ,muall,mualt,muassi,muassaa,muaka,muad,mutojõ,mutoit,mutoisõ,mutoiz,mutoiss,mutoillõ,mutoill,mutoilt,mutoissi,mutoissaa,mutoika,
muudrõ,muudra,muudra,muudrasõ,muudrõz,muudrõss,muudrõllõ,muudrõll,muudrõlt,muudrõssi,muudrõssaa,muudrõka,muudrõd,muudrijõ,muudriit,muudriisõ,muudriiz,muudriiss,muudriillõ,muudriill,muudriilt,muudriissi,muudriissaa,muudrijka,
muudõr,muudõra,muudõra,muudõrasõ,muudõrõz,muudõrõss,muudõrõllõ,muudõrõll,muudõrõlt,muudõrõssi,muudõrõssaa,muudõrõka,muudõrõd,muudõrojõ,muudõroit,muudõroisõ,muudõroiz,muudõroiss,muudõroillõ,muudõroill,muudõroilt,muudõroissi,muudõroissaa,muudõroika,
muuzikkõ,muuzika,muuzikka,muuzikkasõ,muuzikkõz,muuzikõss,muuzikõllõ,muuzikõll,muuzikõlt,muuzikõssi,muuzikkõssaa,muuzikõka,muuzikõd,muuzikkojõ,muuzikkoit,muuzikkoisõ,muuzikkoiz,muuzikkoiss,muuzikkoillõ,muuzikkoill,muuzikkoilt,muuzikkoissi,muuzikkoissaa,muuzikkoika,sg vormides õ->a
mõiznikkõ,mõiznika,mõiznikka,mõiznikkasõ,mõiznikkõz,mõiznikõss,mõiznikõllõ,mõiznikõll,mõiznikõlt,mõiznikõssi,mõiznikkõssaa,mõiznikõka,mõiznikõd,mõiznikkojõ,mõiznikkoit,mõiznikkoisõ,mõiznikkoiz,mõiznikkoiss,mõiznikkoillõ,mõiznikkoill,mõiznikkoilt,mõiznikkoissi,mõiznikkoissaa,mõiznikkoika,
mõizõ,mõiza,mõiza,mõizasõ,mõizõz,mõizõss,mõizõllõ,mõizõll,mõizõlt,mõizõssi,mõizõssaa,mõizõka,mõizõd,mõizijõ,mõiziit,mõiziisõ,mõiziiz,mõiziiss,mõiziillõ,mõiziill,mõiziilt,mõiziissi,mõiziissaa,mõizijka,ka mõizojõ-mõizoit
mõlto,mõllo,mõltoa,mõltosõ,mõlloz,mõlloss,mõllollõ,mõlloll,mõllolt,mõllossi,mõllossaa,mõlloka,mõllod,mõltojõ,mõltoit,mõltoisõ,mõltoiz,mõltoiss,mõltoillõ,mõltoill,mõltoilt,mõltoissi,mõltoissaa,mõltoika,
mõnikõz,mõnikka,mõnikõssõ,mõnikkasõ,mõnikkaz,mõnikkass,mõnikkallõ,mõnikkall,mõnikkalt,mõnikkassi,mõnikkassaa,mõnikkaka,mõnikkad,mõnikkajõ,mõnikkait,mõnikkaisõ,mõnikkaiz,mõnikkaiss,mõnikkaillõ,mõnikkaill,mõnikkailt,mõnikkaissi,mõnikkaissaa,mõnikkaika,
mäči,mäe,mäččeä,mäččese,mäez,mäess,mäelle,mäell,mäelt,mäessi,mäessaa,mäeka,mäed,mäččije,mäččiit,mäččiise,mäččiiz,mäččiiss,mäččiille,mäččiill,mäččiilt,mäččiissi,mäččiissaa,mäččijka,
mäčizikko,mäčiziko,mäčizikkoa,mäčizikkosõ,mäčizikkoz,mäčizikoss,mäčizikollõ,mäčizikoll,mäčizikolt,mäčizikossi,mäčizikkossaa,mäčizikoka,mäčizikod,mäčizikkojõ,mäčizikkoit,mäčizikkoisõ,mäčizikkoiz,mäčizikkoiss,mäčizikkoillõ,mäčizikkoill,mäčizikkoilt,mäčizikkoissi,mäčizikkoissaa,mäčizikkoika,
märče,märjä,märčä,märčäse,märjez,märjess,märjelle,märjell,märjelt,märjessi,märjessaa,märjeka,märjed,märčije,märčiit,märčiise,märčiiz,märčiiss,märčiille,märčiill,märčiilt,märčiissi,märčiissaa,märčijka,
märännü,märännü,märännüt,märännüse,märännez,märänness,märännelle,märännell,märännelt,märännessi,märännessaa,märänneka,märänned,märännije,märänneit,märänneise,märänneiz,märänneiss,märänneille,märänneill,märänneilt,märänneissi,märänneissaa,märänneika,
mätä,mää,mättä,mättäse,määz,määss,määlle,määll,mäält,määssi,määssaa,määka,määd,mättije,mättiit,mättiise,mättiiz,mättiiss,mättiille,mättiill,mättiilt,mättiissi,mättiissaa,mättijka,
müüjä,müüjä,müüjä,müüjäse,müüjez,müüjess,müüjelle,müüjell,müüjelt,müüjessi,müüjessaa,müüjeka,müüjed,müüjije,müüjiit,müüjiise,müüjiiz,müüjiiss,müüjiille,müüjiill,müüjiilt,müüjiissi,müüjiissaa,müüjijka,
naapuri,naapuri,naapuria,naapurisõ,naapuriz,naapuriss,naapurillõ,naapurill,naapurilt,naapurissi,naapurissaa,naapurika,naapurid,naapurijõ,naapuriit,naapuriisõ,naapuriiz,naapuriiss,naapuriillõ,naapuriill,naapuriilt,naapuriissi,naapuriissaa,naapurijka,
naglõ,nagla,nagla,naglasõ,naglõz,naglõss,naglõllõ,naglõll,naglõlt,naglõssi,naglõssaa,naglõka,naglõd,naglojõ,nagloit,nagloisõ,nagloiz,nagloiss,nagloillõ,nagloill,nagloilt,nagloissi,nagloissaa,nagloika,
nagriskaaskõ,nagriskaazga,nagriskaaska,nagriskaaskasõ,nagriskaazgõz,nagriskaazgõss,nagriskaazgõllõ,nagriskaazgõll,nagriskaazgõlt,nagriskaazgõssi,nagriskaazgõssaa,nagriskaazgõka,nagriskaazgõd,nagriskaaskojõ,nagriskaaskoit,nagriskaaskoisõ,nagriskaaskoiz,nagriskaaskoiss,nagriskaaskoillõ,nagriskaaskoill,nagriskaaskoilt,nagriskaaskoissi,nagriskaaskoissaa,nagriskaaskoika,
nagriz,nagrisõ,nagrissõ,nagrizõsõ,nagrizõz,nagrizõss,nagrizõllõ,nagrizõll,nagrizõlt,nagrizõssi,nagrizõssaa,nagrizõka,nagrizõd,nagrisijõ,nagrisiit,nagrisiisõ,nagrisiiz,nagrisiiss,nagrisiillõ,nagrisiill,nagrisiilt,nagrisiissi,nagrisiissaa,nagrisijka,
nagru,nagru,nagrua,nagrusõ,nagruz,nagruss,nagrullõ,nagrull,nagrult,nagrussi,nagrussaa,nagruka,nagrud,nagrujõ,nagruit,nagruisõ,nagruiz,nagruiss,nagruillõ,nagruill,nagruilt,nagruissi,nagruissaa,nagruika,
nahkõ,nahga,nahka,nahkasõ,nahgõz,nahgõss,nahgõllõ,nahgõll,nahgõlt,nahgõssi,nahgõssaa,nahgõka,nahgõd,nahkojõ,nahkoit,nahkoisõ,nahkoiz,nahkoiss,nahkoillõ,nahkoill,nahkoilt,nahkoissi,nahkoissaa,nahkoika,
nain,naizõ,naissõ,naizõsõ,naizõz,naizõss,naizõllõ,naizõll,naizõlt,naizõssi,naizõssaa,naizõka,naizõd,naisijõ,naisiit,naisiisõ,naisiiz,naisiiss,naisiillõ,naisiill,naisiilt,naisiissi,naisiissaa,naisijka,
naizikko,naiziko,naizikkoa,naizikkosõ,naizikkoz,naizikoss,naizikollõ,naizikoll,naizikolt,naizikossi,naizikkossaa,naizikoka,naizikod,naizikkojõ,naizikkoit,naizikkoisõ,naizikkoiz,naizikkoiss,naizikkoillõ,naizikkoill,naizikkoilt,naizikkoissi,naizikkoissaa,naizikkoika,
napa,nava,nappa,nappasõ,navaz,navass,navallõ,navall,navalt,navassi,navassaa,navaka,navad,napojõ,napoit,napoisõ,napoiz,napoiss,napoillõ,napoill,napoilt,napoissi,napoissaa,napoika,
nato,nao,nattoa,nattosõ,naoz,naoss,naollõ,naoll,naolt,naossi,naossaa,naoka,naod,natojõ,natoit,natoisõ,natoiz,natoiss,natoillõ,natoill,natoilt,natoissi,natoissaa,natoika,
n̕egrõ,n̕egra,n̕egra,n̕egrasõ,n̕egrõz,n̕egrõss,n̕egrõllõ,n̕egrõll,n̕egrõlt,n̕egrõssi,n̕egrõssaa,n̕egrõka,n̕egrõd,n̕egrojõ,n̕egroit,n̕egroisõ,n̕egroiz,n̕egroiss,n̕egroillõ,n̕egroill,n̕egroilt,n̕egroissi,n̕egroissaa,n̕egroika,
nel̕l̕äz,nel̕l̕ettemä,nel̕l̕että,nel̕l̕ettemäse,nel̕l̕etteemäz,nel̕l̕etteemäss,nel̕l̕etteemälle,nel̕l̕etteemäll,nel̕l̕etteemält,nel̕l̕etteemässi,nel̕l̕etteemässaa,nel̕l̕etteemäka,nel̕l̕etteemäd,nel̕l̕ettemije,nel̕l̕ettemiit,nel̕l̕ettemiise,nel̕l̕ettemiiz,nel̕l̕ettemiiss,nel̕l̕ettemiille,nel̕l̕ettemiill,nel̕l̕ettemiilt,nel̕l̕ettemiissi,nel̕l̕ettemiissaa,nel̕l̕ettemijka,
nenä,nenä,nennä,nenäse,nenäz,nenäss,nenälle,nenäll,nenält,nenässi,nenässaa,nenäka,nenäd,nenije,neniit,neniise,neniiz,neniiss,neniille,neniill,neniilt,neniissi,neniissaa,nenijka,
nenäkõz,nenäkka,nenäkassõ,nenäkkasõ,nenäkkaz,nenäkkass,nenäkkallõ,nenäkkall,nenäkkalt,nenäkkassi,nenäkkassaa,nenäkkaka,nenäkkad,nenäkkajõ,nenäkkait,nenäkkaisõ,nenäkkaiz,nenäkkaiss,nenäkkaillõ,nenäkkaill,nenäkkailt,nenäkkaissi,nenäkkaissaa,nenäkkaika,
nenärätte,nenäräte,nenärätteä,nenärättese,nenärättez,nenärätess,nenärätelle,nenärätell,nenärätelt,nenärätessi,nenärättessaa,nenäräteka,nenäräted,nenärätteje,nenärätteit,nenärätteise,nenärätteiz,nenärätteiss,nenärätteille,nenärätteill,nenärätteilt,nenärätteissi,nenärätteissaa,nenärätteika,
niglõ,nigla,nigla,niglasõ,niglõz,niglõss,niglõllõ,niglõll,niglõlt,niglõssi,niglõssaa,niglõka,niglõd,niglojõ,nigloit,nigloisõ,nigloiz,nigloiss,nigloillõ,nigloill,nigloilt,nigloissi,nigloissaa,nigloika,
nimi,nime,nimeä,nimese,nimez,nimess,nimelle,nimell,nimelt,nimessi,nimessaa,nimeka,nimed,nimije,nimiit,nimiise,nimiiz,nimiiss,nimiille,nimiill,nimiilt,nimiissi,nimiissaa,nimijka,
